scenario,budget_sec,frames,fused_frames,fused_ratio,raw_fallback_frames,raw_fallback_ratio,reason_counts,wait_p50_ms,wait_p95_ms,wait_p99_ms,wait_max_ms,gap_p99_ms,gap_max_ms
raw_only,0.08,40,0,0.000,40,1.000,"{""no_fused"": 40}",89.3935,89.93524000000001,89.994564,90.015,110.2158837890625,110.236572265625
raw_only,0.10,40,0,0.000,40,1.000,"{""no_fused"": 40}",104.928,105.31775,105.48076999999999,105.503,100.5791064453125,100.678466796875
raw_only,0.12,40,0,0.000,40,1.000,"{""no_fused"": 40}",121.78999999999999,122.3511,122.42192999999999,122.466,100.537509765625,100.63232421875
raw_only,0.15,40,0,0.000,40,1.000,"{""no_fused"": 40}",152.3135,152.80435,152.88682,152.911,100.4619189453125,100.51953125
raw_only,0.20,40,0,0.000,40,1.000,"{""no_fused"": 40}",204.70049999999998,205.0839,205.24733,205.268,100.2747900390625,100.2763671875
same_stamp_normal_merge,0.08,40,40,1.000,0,0.000,"{""normal_merge"": 40}",10.0778,10.32558,10.42896,10.4625,100.848701171875,100.88525390625
same_stamp_normal_merge,0.10,40,40,1.000,0,0.000,"{""normal_merge"": 40}",10.06505,10.50546,10.652553,10.6827,100.8221630859375,100.86474609375
same_stamp_normal_merge,0.12,40,40,1.000,0,0.000,"{""normal_merge"": 40}",10.156749999999999,10.595659999999999,10.638962,10.6562,100.8739404296875,100.891845703125
same_stamp_normal_merge,0.15,40,40,1.000,0,0.000,"{""normal_merge"": 40}",10.0724,10.41772,10.52329,10.5541,101.02765625,101.054931640625
same_stamp_normal_merge,0.20,40,40,1.000,0,0.000,"{""normal_merge"": 40}",9.998055,10.376244999999999,10.517529,10.5405,100.9261181640625,100.986328125
late_fused_within_budget,0.08,40,0,0.000,40,1.000,"{""no_fused"": 40}",85.06555,85.512935,85.60905100000001,85.6555,100.4444873046875,100.4677734375
late_fused_within_budget,0.10,40,0,0.000,40,1.000,"{""no_fused"": 40}",105.64750000000001,106.1888,106.28043000000001,106.305,100.3292236328125,100.33154296875
late_fused_within_budget,0.12,40,0,0.000,40,1.000,"{""no_fused"": 40}",120.9485,121.327,121.42051,121.456,100.556103515625,100.671142578125
late_fused_within_budget,0.15,40,22,0.550,18,0.450,"{""late_fused"": 18, ""normal_merge"": 22}",149.92149999999998,150.5704,150.82749,150.987,101.2594580078125,101.3779296875
late_fused_within_budget,0.20,40,40,1.000,0,0.000,"{""normal_merge"": 40}",149.909,150.50955,150.67216,150.733,100.9845703125,101.0625
late_fused_over_deadline,0.08,40,0,0.000,40,1.000,"{""no_fused"": 40}",89.02455,89.31087000000001,89.339311,89.353,100.29173828125,100.297119140625
late_fused_over_deadline,0.10,40,0,0.000,40,1.000,"{""no_fused"": 40}",104.2045,104.77324999999999,104.97556999999999,105.029,100.275361328125,100.286865234375
late_fused_over_deadline,0.12,40,0,0.000,40,1.000,"{""no_fused"": 40}",128.48149999999998,129.23845,129.25615000000002,129.262,100.2475830078125,100.2666015625
late_fused_over_deadline,0.15,40,0,0.000,40,1.000,"{""no_fused"": 40}",154.7365,155.21865,155.34229000000002,155.377,100.2631884765625,100.269775390625
late_fused_over_deadline,0.20,40,0,0.000,40,1.000,"{""no_fused"": 40}",201.392,201.84085,201.9546,202.017,100.246923828125,100.25341796875
intermittent_drop_count_mismatch,0.08,48,12,0.250,36,0.750,"{""count_mismatch"": 12, ""no_fused"": 24, ""normal_merge"": 12}",50.4018,89.92244000000001,89.989107,90.0041,170.489111328125,170.507080078125
intermittent_drop_count_mismatch,0.10,48,12,0.250,36,0.750,"{""count_mismatch"": 12, ""no_fused"": 24, ""normal_merge"": 12}",61.828500000000005,104.01375,104.10451,104.136,184.1501904296875,184.264404296875
intermittent_drop_count_mismatch,0.12,48,17,0.354,31,0.646,"{""count_mismatch"": 12, ""late_fused"": 7, ""no_fused"": 12, ""normal_merge"": 17}",70.0856,121.60289999999999,121.75424,121.758,200.3817236328125,200.443603515625
intermittent_drop_count_mismatch,0.15,48,24,0.500,24,0.500,"{""count_mismatch"": 12, ""no_fused"": 12, ""normal_merge"": 24}",70.1054,152.3092,152.40246000000002,152.441,200.2470654296875,200.4140625
intermittent_drop_count_mismatch,0.20,48,24,0.500,24,0.500,"{""count_mismatch"": 12, ""no_fused"": 12, ""normal_merge"": 24}",70.203,209.0188,209.14937,209.163,200.6393505859375,200.6513671875
duplicate_stale_finalize,0.08,36,18,0.500,18,0.500,"{""no_fused"": 18, ""normal_merge"": 18}",50.33135,81.23230000000001,81.37592,81.4392,161.246796875,161.306396484375
duplicate_stale_finalize,0.10,36,18,0.500,18,0.500,"{""no_fused"": 18, ""normal_merge"": 18}",64.056,108.63125,108.7424,108.776,188.975146484375,188.9892578125
duplicate_stale_finalize,0.12,36,18,0.500,18,0.500,"{""no_fused"": 18, ""normal_merge"": 18}",72.5632,125.50399999999999,125.5983,125.599,200.286845703125,200.3251953125
duplicate_stale_finalize,0.15,36,18,0.500,18,0.500,"{""no_fused"": 18, ""normal_merge"": 18}",88.16435,156.959,157.0006,157.023,199.578193359375,199.645263671875
