timestamp,pos_error_m,heading_error_deg,velocity_error_mps,time_diff_s
1662794066.020862,0.000000,0.000000,0.000000,0.000000
1662794066.525529,0.000000,0.000000,0.000000,0.000000
1662794067.033385,0.037462,1.063831,0.009531,0.040424
1662794067.547951,0.057176,1.071118,0.009155,0.026863
1662794068.062148,0.000000,0.000000,0.000000,0.000000
1662794068.571249,0.052304,0.367557,0.001848,0.020180
1662794069.084495,0.065531,0.816517,0.005472,0.020192
1662794069.598005,0.069357,1.129503,0.000720,0.040417
1662794070.107158,0.000000,0.000000,0.000000,0.000000
1662794070.647839,0.091164,1.094543,0.005107,0.044997
1662794071.158963,0.069450,1.318556,0.003052,0.040457
1662794071.693799,0.052869,0.399957,0.003052,0.040374
1662794072.210993,0.069035,0.385417,0.005286,0.020220
1662794072.737980,0.079987,1.019913,0.000818,0.040455
1662794073.252402,0.060398,0.968647,0.004900,0.020218
1662794073.783580,0.063155,1.442323,0.003427,0.040467
1662794074.296624,0.000000,0.000000,0.000000,0.000000
1662794074.804909,0.000000,0.000000,0.000000,0.000000
1662794075.314407,0.000000,0.000000,0.000000,0.000000
1662794075.823975,0.080387,1.407370,0.002895,0.044578
1662794076.327131,0.000000,0.000000,0.000000,0.000000
1662794076.832849,0.086800,0.407796,0.002331,0.040447
1662794077.340048,0.081444,0.197528,0.006687,0.020652
1662794077.848253,0.021046,0.916567,0.000495,0.020265
1662794078.361048,0.039370,0.940162,0.002376,0.020183
1662794078.866763,0.000000,0.000000,0.000000,0.000000
1662794079.382531,0.000000,0.000000,0.000000,0.000000
1662794079.914456,0.000000,0.000000,0.000000,0.000000
1662794080.429489,0.000000,0.000000,0.000000,0.000000
1662794080.941567,0.049440,1.359125,0.003052,0.020428
1662794081.446689,0.046620,1.793398,0.004900,0.040394
1662794081.976233,0.056650,1.666841,0.009155,0.040375
1662794082.485266,0.071774,1.576421,0.002263,0.020227
1662794082.992449,0.080390,1.495463,0.001680,0.040339
1662794083.498959,0.082948,1.453690,0.002528,0.020168
1662794084.004524,0.049481,0.994433,0.007475,0.040399
1662794084.515748,0.023586,1.024545,0.003772,0.040326
1662794085.024313,0.000000,0.000000,0.000000,0.000000
1662794085.529015,0.048232,0.112127,0.014351,0.040332
1662794086.036507,0.000000,0.000000,0.000000,0.000000
1662794086.547652,0.105523,1.919535,0.034301,0.040346
1662794087.059293,0.233417,2.589702,0.026969,0.040372
1662794087.589641,0.364887,2.987571,0.007567,0.040459
1662794088.037507,0.451554,3.508207,0.024222,0.000000
1662794088.384186,0.519956,2.516120,0.018445,0.000000
1662794088.708680,0.000000,0.000000,0.000000,0.000000
1662794088.974575,0.587722,0.314540,0.027233,0.000000
1662794089.198694,0.572089,0.924730,0.092227,0.040425
1662794089.361994,0.652189,1.363561,0.000072,0.020164
1662794089.509482,0.000000,0.000000,0.000000,0.000000
1662794089.611438,0.794324,1.815376,0.067240,0.000000
1662794089.671952,0.873093,1.260689,0.030830,0.000000
1662794089.712269,0.830998,1.370205,0.024595,0.000000
1662794089.793157,0.829599,0.785875,0.031126,0.000000
1662794089.874039,0.000000,0.000000,0.000000,0.000000
1662794089.974889,0.771937,0.025268,0.033519,0.000000
1662794090.015340,0.856106,0.314821,0.033634,0.000000
1662794090.081091,0.761748,0.658144,0.005506,0.020211
1662794090.161917,0.718834,1.035329,0.005057,0.040413
1662794090.242672,0.000000,0.000000,0.000000,0.000000
1662794090.303965,0.828963,2.146152,0.019406,0.000000
1662794090.384671,0.794772,2.617826,0.003950,0.000000
1662794090.465406,0.785306,2.909279,0.014706,0.000000
1662794090.525894,0.781340,2.973639,0.024366,0.000000
1662794090.626947,0.665861,3.281349,0.006968,0.040501
1662794090.748175,0.623790,3.612804,0.016111,0.040416
1662794090.849167,0.704041,3.410582,0.000084,0.000000
1662794090.950752,0.684160,2.619478,0.006260,0.000000
1662794091.072086,0.670141,1.788869,0.002944,0.000000
1662794091.213509,0.000000,0.000000,0.000000,0.000000
1662794091.355293,0.592013,0.390310,0.031030,0.040359
1662794091.461621,0.726427,0.158831,0.006747,0.000000
1662794091.564195,0.707113,0.164705,0.017843,0.000000
1662794091.686090,0.631103,1.113624,0.002876,0.000000
1662794091.829575,0.582619,2.043481,0.011968,0.000000
1662794091.970770,0.595353,2.123949,0.009025,0.000000
1662794092.112556,0.582939,2.505234,0.024856,0.000000
1662794092.276577,0.546633,2.875804,0.000014,0.000000
1662794092.417881,0.591555,3.209077,0.006779,0.000000
1662794092.566306,0.597944,3.508143,0.018652,0.026385
1662794092.707726,0.528401,3.931730,0.021491,0.040411
1662794092.809024,0.657745,4.474938,0.018782,0.000000
1662794092.930448,0.664185,5.493434,0.005991,0.000000
1662794092.950634,0.650112,5.651821,0.035528,0.000000
1662794092.991066,0.000000,0.000000,0.000000,0.000000
1662794093.031472,0.125149,0.149874,0.018099,0.040406
1662794093.031472,0.654095,0.000000,0.008543,0.000000
1662794093.071860,0.751771,3.913892,0.026397,0.040388
1662794093.423828,0.000000,0.000000,0.000000,0.000000
1662794093.423828,0.706999,0.000000,0.002935,0.000000
1662794093.470622,0.000000,0.000000,0.000000,0.000000
1662794093.531208,0.000000,0.000000,0.000000,0.000000
1662794093.857578,0.420763,0.296862,0.005823,0.000000
1662794094.041679,0.553238,2.300192,0.039660,0.000000
1662794094.187061,0.642486,4.207902,0.030427,0.000000
1662794094.290137,0.712099,5.742621,0.013957,0.000000
1662794094.330472,0.000000,0.000000,0.000000,0.000000
1662794094.370907,0.141700,0.093601,0.050140,0.040434
1662794094.451824,0.000000,0.000000,0.000000,0.000000
1662794094.492203,0.000000,0.000000,0.000000,0.000000
1662794094.552870,0.000000,0.000000,0.000000,0.000000
1662794094.593330,0.220246,1.545749,0.040062,0.040460
1662794094.694476,0.000000,0.000000,0.000000,0.000000
1662794094.734851,0.141209,0.137591,0.020365,0.040375
1662794094.815752,0.272519,0.411640,0.004747,0.080901
1662794094.835917,0.000000,0.000000,0.000000,0.000000
1662794094.876312,0.000000,0.000000,0.000000,0.000000
1662794094.957434,0.265477,0.006324,0.010936,0.081122
1662794094.997749,0.000000,0.000000,0.000000,0.000000
1662794095.059211,0.000000,0.000000,0.000000,0.000000
1662794095.099561,0.158496,0.794876,0.029937,0.040350
1662794095.139915,0.130003,0.163215,0.017502,0.040354
1662794095.200452,0.227488,0.962742,0.043147,0.060537
1662794095.261620,0.183698,0.357701,0.015152,0.061168
1662794095.281927,0.065927,0.004845,0.026669,0.020308
