epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5717,1.65636,2.06642,0.00383,0.84275,0.84628,0.85563,0.40611,1.70118,1.04337,0.0057,0.000474032,0.000474032,0.000474032
2,95.5416,1.684,0.75716,0.00387,0.87135,0.8535,0.86837,0.40115,1.91833,0.74929,0.00644,0.000950325,0.000950325,0.000950325
3,140.108,1.70258,0.65343,0.00387,0.87456,0.88918,0.87628,0.37553,2.03971,0.7327,0.00688,0.00142646,0.00142646,0.00142646
4,185.394,1.70089,0.6179,0.00392,0.87633,0.87173,0.89191,0.42341,1.9362,0.6552,0.00648,0.00142845,0.00142845,0.00142845
5,229.79,1.6777,0.59254,0.00382,0.84188,0.87359,0.84216,0.33993,2.15032,0.73664,0.00743,0.00142803,0.00142803,0.00142803
6,272.265,1.67481,0.57442,0.00384,0.86771,0.89997,0.8923,0.39589,2.00462,0.70109,0.00679,0.00142749,0.00142749,0.00142749
7,316.986,1.64652,0.56803,0.00373,0.88612,0.91036,0.91235,0.49186,1.70012,0.5688,0.00565,0.00142682,0.00142682,0.00142682
8,361.684,1.6125,0.53647,0.00375,0.87553,0.91873,0.91994,0.49301,1.69414,0.60836,0.00562,0.00142603,0.00142603,0.00142603
9,405.781,1.62305,0.56152,0.00378,0.89185,0.88896,0.9174,0.48936,1.69695,0.57702,0.00566,0.00142513,0.00142513,0.00142513
10,449.356,1.59991,0.52876,0.00367,0.8972,0.90121,0.92127,0.48942,1.72739,0.59172,0.00574,0.0014241,0.0014241,0.0014241
11,491.737,1.59063,0.52661,0.00357,0.89543,0.90796,0.91812,0.50437,1.62708,0.53709,0.00541,0.00142295,0.00142295,0.00142295
12,536.704,1.57239,0.52487,0.00359,0.88646,0.91878,0.91907,0.50341,1.68679,0.56254,0.00565,0.00142168,0.00142168,0.00142168
13,579.642,1.58282,0.51906,0.00358,0.88214,0.91622,0.92531,0.52338,1.599,0.54562,0.00527,0.00142029,0.00142029,0.00142029
14,623.24,1.55684,0.51005,0.00348,0.91407,0.90118,0.94399,0.55568,1.47871,0.50788,0.00502,0.00141878,0.00141878,0.00141878
15,666.923,1.57063,0.51639,0.00354,0.91924,0.88659,0.9421,0.5516,1.48723,0.51269,0.00507,0.00141716,0.00141716,0.00141716
16,711.32,1.52914,0.50712,0.0034,0.89977,0.91228,0.94165,0.5578,1.52954,0.47365,0.00515,0.00141541,0.00141541,0.00141541
17,755.994,1.53118,0.50112,0.00342,0.92207,0.90981,0.95793,0.5336,1.59812,0.4984,0.00539,0.00141354,0.00141354,0.00141354
18,800.138,1.54196,0.50396,0.00345,0.8986,0.90936,0.93499,0.55108,1.54589,0.51014,0.00528,0.00141156,0.00141156,0.00141156
19,844.565,1.5143,0.48918,0.00339,0.8955,0.92218,0.93089,0.53818,1.51855,0.4839,0.00518,0.00140946,0.00140946,0.00140946
20,888.641,1.50346,0.49969,0.00346,0.90301,0.8985,0.94068,0.55518,1.51785,0.55843,0.00521,0.00140724,0.00140724,0.00140724
21,932.074,1.49796,0.48442,0.00341,0.91733,0.92954,0.95123,0.55854,1.45993,0.45544,0.00494,0.0014049,0.0014049,0.0014049
