epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2308,0.83102,5.86116,0.00145,0.22399,0.51509,0.2512,0.20295,0.78992,2.87376,0.00138,0.00046412,0.00046412,0.00046412
2,38.7196,0.9499,2.83749,0.00163,0.60548,0.74426,0.74145,0.55015,0.94835,1.54302,0.00169,0.000931143,0.000931143,0.000931143
3,52.5486,0.91373,1.96882,0.00166,0.63505,0.76552,0.73842,0.5782,0.89665,1.24318,0.00162,0.00138873,0.00138873,0.00138873
4,65.7958,0.89767,1.73822,0.00164,0.68791,0.77694,0.8194,0.5896,1.026,1.06751,0.00188,0.00138656,0.00138656,0.00138656
5,79.0273,0.99153,1.48433,0.00178,0.67899,0.82406,0.8299,0.62591,0.92478,0.98695,0.00173,0.00137241,0.00137241,0.00137241
6,92.358,0.95357,1.23415,0.00184,0.69668,0.82215,0.79231,0.54915,1.06434,0.93412,0.0021,0.00135826,0.00135826,0.00135826
7,105.697,0.98814,1.08437,0.00188,0.74586,0.74352,0.79783,0.59461,0.96408,0.83901,0.00188,0.00134412,0.00134412,0.00134412
8,118.698,0.91659,0.9327,0.00165,0.77106,0.82174,0.8537,0.65131,0.94103,0.885,0.00184,0.00132997,0.00132997,0.00132997
9,131.949,0.94854,0.95791,0.00192,0.74996,0.77905,0.82935,0.63101,0.92463,0.85737,0.00181,0.00131582,0.00131582,0.00131582
10,144.989,0.93632,0.83791,0.00159,0.86218,0.78827,0.85316,0.6618,0.89569,0.71703,0.00173,0.00130168,0.00130168,0.00130168
11,158.311,0.82501,0.785,0.00159,0.78022,0.82705,0.84148,0.68597,0.82124,0.66377,0.00147,0.00128753,0.00128753,0.00128753
12,171.678,0.81061,0.74088,0.00156,0.75996,0.83868,0.7918,0.66318,0.75437,0.70021,0.00142,0.00127338,0.00127338,0.00127338
13,184.737,0.72737,0.66041,0.00138,0.79233,0.81712,0.87054,0.70874,0.75353,0.61552,0.00136,0.00125923,0.00125923,0.00125923
14,198.058,0.78186,0.62663,0.00139,0.83572,0.79699,0.87661,0.71753,0.77905,0.61578,0.00144,0.00124509,0.00124509,0.00124509
15,211.427,0.74402,0.55436,0.00134,0.80087,0.81689,0.88908,0.73939,0.74145,0.6646,0.00131,0.00123094,0.00123094,0.00123094
16,225.068,0.78179,0.5578,0.0015,0.88118,0.80507,0.90148,0.74331,0.8384,0.57685,0.0018,0.00121679,0.00121679,0.00121679
17,238.284,0.7847,0.57435,0.00152,0.87293,0.87964,0.92097,0.77599,0.7469,0.50634,0.00136,0.00120265,0.00120265,0.00120265
18,251.617,0.73316,0.48686,0.0013,0.88263,0.83888,0.91329,0.76676,0.73194,0.50162,0.00139,0.0011885,0.0011885,0.0011885
19,264.598,0.76481,0.49525,0.00127,0.88602,0.86172,0.91896,0.7553,0.7847,0.50615,0.00144,0.00117435,0.00117435,0.00117435
20,277.65,0.7345,0.43213,0.00123,0.85002,0.89885,0.9277,0.78956,0.72844,0.45085,0.00135,0.00116021,0.00116021,0.00116021
21,290.876,0.71376,0.46692,0.00135,0.85983,0.87264,0.91817,0.78644,0.7262,0.48357,0.00137,0.00114606,0.00114606,0.00114606
22,304.05,0.71082,0.42529,0.0013,0.83994,0.89054,0.92122,0.78437,0.71679,0.45787,0.00127,0.00113191,0.00113191,0.00113191
23,317.579,0.74337,0.45048,0.00129,0.85489,0.89688,0.92389,0.78228,0.74214,0.4552,0.0013,0.00111776,0.00111776,0.00111776
24,330.858,0.72287,0.42386,0.00127,0.82335,0.88858,0.90857,0.759,0.77905,0.4928,0.00146,0.00110362,0.00110362,0.00110362
25,343.967,0.7722,0.44182,0.0013,0.90777,0.90145,0.93616,0.79784,0.70894,0.42199,0.00132,0.00108947,0.00108947,0.00108947
26,357.233,0.72923,0.40004,0.00125,0.88575,0.90925,0.94467,0.78785,0.7605,0.43136,0.00138,0.00107532,0.00107532,0.00107532
27,370.395,0.65292,0.36814,0.00113,0.87304,0.91386,0.93556,0.80274,0.68073,0.42827,0.00126,0.00106118,0.00106118,0.00106118
28,383.717,0.65692,0.39306,0.00107,0.9103,0.89863,0.93745,0.80239,0.71867,0.41834,0.0013,0.00104703,0.00104703,0.00104703
29,396.829,0.70723,0.37898,0.0012,0.90594,0.87498,0.94524,0.81297,0.68783,0.4129,0.00132,0.00103288,0.00103288,0.00103288
30,410.15,0.68068,0.37173,0.00111,0.91966,0.87919,0.94605,0.81614,0.6809,0.41489,0.00125,0.00101873,0.00101873,0.00101873
31,423.545,0.67686,0.39792,0.00114,0.86946,0.90598,0.93916,0.80311,0.65551,0.41746,0.00117,0.00100459,0.00100459,0.00100459
32,436.588,0.60751,0.36642,0.00108,0.90708,0.8553,0.9348,0.82041,0.63809,0.42022,0.00114,0.00099044,0.00099044,0.00099044
33,449.975,0.67055,0.39081,0.00108,0.88449,0.89871,0.93726,0.82628,0.64156,0.41566,0.00115,0.000976293,0.000976293,0.000976293
34,463.801,0.68759,0.38313,0.00105,0.90659,0.90751,0.94005,0.80713,0.70042,0.44141,0.00122,0.000962146,0.000962146,0.000962146
35,476.943,0.61536,0.3717,0.00104,0.9158,0.89518,0.93951,0.82141,0.62838,0.42719,0.00111,0.000947999,0.000947999,0.000947999
36,490.064,0.65378,0.36837,0.00111,0.90805,0.9038,0.94971,0.82943,0.6329,0.38543,0.00117,0.000933851,0.000933851,0.000933851
37,503.38,0.60829,0.3583,0.00098,0.91035,0.89288,0.94542,0.81916,0.69908,0.38259,0.00121,0.000919704,0.000919704,0.000919704
38,516.441,0.60067,0.35857,0.00107,0.86248,0.90514,0.91624,0.79495,0.66475,0.43611,0.00116,0.000905557,0.000905557,0.000905557
39,529.566,0.62817,0.33491,0.00107,0.90852,0.87094,0.94079,0.81667,0.70157,0.40397,0.00124,0.00089141,0.00089141,0.00089141
40,542.849,0.62533,0.36021,0.00105,0.899,0.88454,0.94575,0.82385,0.67186,0.42869,0.00122,0.000877263,0.000877263,0.000877263
41,556.121,0.65797,0.37734,0.00115,0.87248,0.89942,0.94258,0.81695,0.68661,0.43909,0.0012,0.000863116,0.000863116,0.000863116
42,569.123,0.57898,0.34429,0.00098,0.88336,0.88773,0.93524,0.81763,0.63616,0.42535,0.00108,0.000848969,0.000848969,0.000848969
43,582.227,0.60688,0.31643,0.00087,0.923,0.86946,0.9476,0.8312,0.63857,0.36938,0.00111,0.000834822,0.000834822,0.000834822
44,595.527,0.60906,0.30142,0.00098,0.90282,0.89232,0.94855,0.83916,0.62842,0.37441,0.00109,0.000820675,0.000820675,0.000820675
45,609.003,0.60118,0.32423,0.001,0.90432,0.90257,0.94549,0.84229,0.6198,0.37568,0.00107,0.000806528,0.000806528,0.000806528
46,622.393,0.59566,0.2983,0.00096,0.90057,0.88168,0.93306,0.81919,0.64296,0.38114,0.00111,0.00079238,0.00079238,0.00079238
47,636.167,0.55935,0.28407,0.00101,0.91709,0.89594,0.93553,0.8204,0.67145,0.37183,0.0012,0.000778233,0.000778233,0.000778233
48,649.22,0.57949,0.28477,0.00091,0.91474,0.88747,0.94189,0.8338,0.65903,0.39265,0.00111,0.000764086,0.000764086,0.000764086
49,662.368,0.6012,0.29362,0.00096,0.90755,0.88277,0.94607,0.83871,0.6376,0.38237,0.00109,0.000749939,0.000749939,0.000749939
50,675.448,0.59366,0.29444,0.0009,0.87551,0.92644,0.94123,0.83279,0.64657,0.37682,0.00111,0.000735792,0.000735792,0.000735792
51,688.589,0.57924,0.28824,0.00091,0.91752,0.88533,0.94162,0.83635,0.63343,0.38121,0.00108,0.000721645,0.000721645,0.000721645
52,701.92,0.57011,0.26463,0.00086,0.88054,0.92964,0.93298,0.83331,0.64329,0.37469,0.00113,0.000707498,0.000707498,0.000707498
53,714.88,0.57241,0.29729,0.00096,0.87901,0.92847,0.93652,0.83229,0.63969,0.38347,0.00112,0.000693351,0.000693351,0.000693351
54,728.2,0.56662,0.27676,0.00097,0.89294,0.93574,0.94515,0.8251,0.67692,0.39657,0.00116,0.000679204,0.000679204,0.000679204
55,741.445,0.5227,0.27066,0.00094,0.8935,0.91014,0.93351,0.82822,0.63684,0.4063,0.00114,0.000665057,0.000665057,0.000665057
56,754.854,0.56214,0.28082,0.00089,0.90126,0.90585,0.95187,0.83671,0.64967,0.37923,0.00111,0.000650909,0.000650909,0.000650909
57,767.942,0.52813,0.25968,0.0009,0.92507,0.87953,0.94797,0.84163,0.62742,0.38795,0.00112,0.000636762,0.000636762,0.000636762
58,781.045,0.50573,0.27382,0.00087,0.92155,0.90659,0.94569,0.84358,0.6297,0.34213,0.00108,0.000622615,0.000622615,0.000622615
59,794.488,0.52061,0.27658,0.00087,0.88727,0.92732,0.94863,0.84316,0.6073,0.35751,0.00108,0.000608468,0.000608468,0.000608468
60,807.631,0.54648,0.27793,0.0008,0.90147,0.89852,0.94558,0.8456,0.59667,0.37635,0.00103,0.000594321,0.000594321,0.000594321
61,821.024,0.51776,0.27379,0.00086,0.93058,0.88215,0.9438,0.8329,0.61667,0.38267,0.00106,0.000580174,0.000580174,0.000580174
62,834.201,0.53238,0.26239,0.00085,0.91525,0.89139,0.93035,0.81902,0.6306,0.395,0.00113,0.000566027,0.000566027,0.000566027
63,847.406,0.51378,0.25514,0.00084,0.91536,0.88465,0.93367,0.82823,0.64102,0.40867,0.00115,0.00055188,0.00055188,0.00055188
64,860.494,0.51211,0.26153,0.00084,0.89593,0.89396,0.93644,0.83359,0.64348,0.39654,0.00114,0.000537733,0.000537733,0.000537733
65,873.808,0.52126,0.25549,0.00087,0.89625,0.90306,0.93924,0.82843,0.63835,0.37914,0.00116,0.000523586,0.000523586,0.000523586
66,886.992,0.53115,0.25482,0.0009,0.89725,0.90242,0.93496,0.83173,0.60401,0.39244,0.00107,0.000509438,0.000509438,0.000509438
67,900.055,0.50759,0.24809,0.00085,0.91147,0.87547,0.93541,0.82705,0.62178,0.42892,0.00108,0.000495291,0.000495291,0.000495291
68,913.105,0.4851,0.24078,0.00078,0.92158,0.89448,0.94796,0.84122,0.61081,0.38506,0.00103,0.000481144,0.000481144,0.000481144
69,926.144,0.49542,0.24799,0.00089,0.93144,0.8811,0.94666,0.83851,0.6284,0.35274,0.00108,0.000466997,0.000466997,0.000466997
70,939.247,0.508,0.24405,0.00081,0.85868,0.92495,0.93312,0.82198,0.65317,0.37651,0.00113,0.00045285,0.00045285,0.00045285
71,952.332,0.5188,0.24759,0.00082,0.88793,0.89985,0.93277,0.84088,0.59782,0.38164,0.00101,0.000438703,0.000438703,0.000438703
72,965.46,0.53177,0.28565,0.00086,0.88021,0.91811,0.93861,0.83298,0.63628,0.36777,0.00112,0.000424556,0.000424556,0.000424556
73,978.538,0.55935,0.26941,0.00087,0.89506,0.90827,0.93901,0.82623,0.66988,0.36358,0.00117,0.000410409,0.000410409,0.000410409
